herb	symptoms
陈皮	纳略增,3.65442421016	偶口干口苦,3.65442421016	代诉：病情平稳,3.65442421016	微畏寒,3.65442421016	胃脘胃寒,3.65442421016	舌下脉络瘀曲,3.65442421016	腹部畏寒略减,3.65442421016	泛吐白沫,3.65442421016	舌体瘦,3.65442421016	口粘减轻,3.65442421016	头晕减轻,3.65442421016	舌燥,3.65442421016	舌淡紫暗胖,3.65442421016	咽部有异物感,3.65442421016	脑鸣,3.65442421016	胃脘部下坠感,3.65442421016	苔浊腻,3.65442421016	舌干,3.65442421016	前部苔少,3.65442421016	进食后偶嗳气,3.65442421016	小便热,3.65442421016	面部痤疮多,3.65442421016	打鼾,3.65442421016	吞咽困难,3.65442421016	排气少,3.65442421016	不能多食,3.62844872376	反食,3.62702523597	偶呕吐,3.61186459574	受凉加重,3.60997244759	食后嗳气,3.60997244759	腹部畏寒明显,3.60790419452	舌淡边有齿痕,3.60790419452	泻后则安,3.60563404599	嘈杂,3.59726579632	大便有时干,3.59726579632	嗳气减少,3.59379958834	胃胀明显好转,3.59190385318	进食后嗳气,3.58988568902	家族史否认,3.58988568902	舌暗淡胖,3.58773283566	矢气减少,3.58543133867	大便粘好转,3.58543133867	苔黄白腻,3.58031623801	有瘀点,3.58031623801	纳稍增,3.58031623801	反酸偶作,3.58031623801	上腹胀满,3.57746316902	质不干,3.57746316902	下肢疼痛,3.57438150249	膝关节畏寒,3.57438150249	得嗳气矢气则舒,3.57438150249	食欲差,3.57438150249	偶咳痰,3.57438150249	舌质红,3.57438150249	胃中沥沥在声,3.57438150249	晨起口臭,3.57438150249	大便时干,3.57438150249	偶干咳,3.57438150249	两胁痛,3.56741283317	口干苦,3.56741283317	耳鸣减轻,3.56741283317	腹泻减轻,3.55911403035	自觉上火,3.55911403035	睡眠偏差,3.55911403035	嗳气偶作,3.55911403035	心悸减轻,3.55911403035	反酸减少,3.55911403035	口干明显,3.55911403035	大便渐成形,3.55911403035	气上逆感,3.55598413735	脉滑数,3.55598413735	大便欠畅,3.5543407516	口腔异味减轻,3.5543407516	嗳气频作,3.55332809329	喜温喜按,3.5490636945	背痛减轻,3.5490636945	小腹胀满,3.5490636945	睡眠质量好转,3.5490636945	苔根部腻,3.5490636945	口粘好转,3.5490636945	胃脘及背部畏寒,3.5490636945	脐周隐痛,3.5490636945	偶胸痛,3.5490636945	口苦好转,3.5490636945	体胖,3.5490636945	仍有嗳气,3.5490636945	夜尿3次,3.5490636945	肠鸣减轻,3.5490636945	上腹胀,3.5490636945	有时偏干,3.5490636945	咽痛好转,3.5490636945	大便偶不成形,3.5490636945	舌淡暗略胖,3.5490636945	胃脘畏寒减轻,3.54621062552	大便不成形,3.54319857505	时有口苦,3.54109552485	畏脘畏寒,3.53379622237	基本成形,3.53182188807	得嗳气则舒,3.53081025419	纳眠差,3.52926106721	

川楝子	右胁隐痛,5.03203458199	脑鸣,4.95792660983	依赖镇静药,4.95792660983	右胁疼痛,4.90385938856	睡眠时间短,4.80377593	部位不固定,4.78607635291	进食后偶嗳气,4.78607635291	代诉：病情平稳,4.73478305852	胃脘胃寒,4.73478305852	下肢疼痛,4.69556234536	得嗳气矢气则舒,4.69556234536	剑突下偏右侧疼痛,4.69556234536	汗多好转,4.67024453738	偶右上腹疼痛,4.63947287871	脱发明显,4.62145437321	右侧背痛,4.55246150172	目困,4.55246150172	大便欠畅,4.55246150172	脉弱,4.55246150172	大便不黑,4.55246150172	不喜饮,4.49839428045	病情稳定,4.49839428045	苔浊腻,4.47241879405	食后嗳气,4.46148972352	背痛减轻,4.44710098607	腹部畏寒略减,4.44710098607	食后腹胀,4.44710098607	大便有时成形,4.44710098607	脐周隐痛,4.44710098607	上腹胀满,4.43467846607	右胁胀,4.41431116324	进食后加重,4.3983108219	右上腹疼痛,4.3983108219	眠好,4.36008960908	口干渴,4.35179080626	大便仍不成形,4.35179080626	尿不尽感,4.35179080626	目干涩好转,4.35179080626	舌紫暗红胖,4.35179080626	胃脘隐痛减轻,4.35179080626	大便溏,4.35179080626	腰痛减轻,4.30733904369	舌暗淡胖,4.29652812759	时轻时重,4.26477942927	时有右胁痛,4.26477942927	有软裂,4.24416014207	胁胀,4.22968810946	小便困难,4.20415480746	大便已成形,4.20415480746	反酸好转,4.19578655779	乏力明显好转,4.1847367216	不详,4.1847367216	左下腹疼痛,4.1847367216	舌淡紫暗胖,4.1847367216	舌质红,4.1847367216	胃中沥沥在声,4.1847367216	左上腹疼痛,4.16946924947	仍感胃胀,4.11062874944	按之觉痛,4.11062874944	时有胃脘隐痛,4.11062874944	腹部喜温,4.11062874944	腹部畏寒喜暖,4.11062874944	偶头痛,4.11062874944	苔中根部薄黄,4.11062874944	胃脘隐痛,4.0987942918	汗出,4.08245787248	上腹痛,4.08245787248	晨起口干,4.06695368594	小腹畏寒,4.04163587796	偶口干口苦,4.04163587796	腹胀不明显,4.04163587796	舌质暗红,4.04163587796	两胁疼痛,4.04163587796	胸骨后疼痛,4.04163587796	食后加重,4.04163587796	偶有便不尽感,4.04163587796	伴嗳气,4.04163587796	纳一般,4.00792482062	右胁痛,4.0024151648	脉沉弱,3.99815076602	疼痛,3.99284571379	苔厚腻略黄,3.99284571379	偶口苦,3.99284571379	右胁不适,3.97709735682	时时欲便,3.97709735682	舌略红,3.97709735682	偶右胁痛,3.97709735682	家族史否认,3.97709735682	大便不成形,3.95939777972	苔灰腻,3.94632569815	腹痛减轻,3.94632569815	口疮,3.94632569815	查胃镜示慢性胃炎,3.94632569815	时有胃脘不适,3.94632569815	偶胸骨后疼痛,3.94632569815	饮食控制,3.92830719265	偶胃脘隐痛,3.92830719265	小便少,3.92830719265	脘腹畏寒,3.916472735	反酸减轻,3.9058343368	

生牡蛎	腹部畏寒略减,5.14691485798	入睡困难,5.10153185214	烦躁,5.09812469381	以流食为主,4.88455059352	脉弦细数,4.81044262136	口干舌燥,4.7822717444	否认过敏史,4.75979888854	大便较前成形,4.74144974988	膝关节畏寒,4.70222903672	烘热,4.69265958571	唇暗,4.67691122874	小便次数多,4.64613957007	微畏寒,4.64613957007	小便不尽感,4.62812106457	口淡乏味,4.55912819308	依赖镇静药,4.55912819308	服上药后,4.55912819308	时有腹痛,4.51564308114	时时欲便,4.49458967194	偶有胃胀,4.47908548541	苔浊腻,4.47908548541	进食后腹胀,4.45376767742	小便清长,4.45376767742	脑鸣,4.45376767742	苔偏少,4.45376767742	排气少,4.45376767742	便溏,4.43396505013	舌淡暗红,4.40497751325	睡眠时间短,4.40497751325	醒后难再入睡,4.39207410842	口苦口干,4.37680663629	饮食不慎则腹泻,4.36988619344	小便急,4.35845749762	睡眠偏差,4.35845749762	伴心悸,4.35845749762	泛吐白沫,4.35845749762	心下悸动,4.35845749762	大便溏,4.35845749762	尿痛,4.33598464177	睡眠差,4.30864640432	有齿痕,4.27144612063	失眠好转,4.27144612063	腹部不适,4.27144612063	目困,4.27144612063	偶肠鸣,4.27144612063	脉细数,4.27144612063	偶胸闷,4.27144612063	时有右胁痛,4.27144612063	手足热,4.22265595646	下肢疼痛,4.19140341296	右上腹不适,4.19140341296	咽部有痰,4.19140341296	四肢冷,4.19140341296	时有腰痛,4.19140341296	剑突下偏右侧疼痛,4.19140341296	喜饮,4.17613594083	食后明显,4.17613594083	喜叹息,4.17235521799	嘈杂,4.15366308497	时有头晕,4.13168417826	食后嗳气,4.13168417826	右胁疼痛,4.0995958637	膝关节疼痛,4.0995958637	汗出,4.08912456384	手足心热,4.085343841	鼻干,4.08220412099	睡眠欠佳,4.06821787902	易醒,4.05633474101	食后腹胀,4.04830256932	苔根部腻,4.04830256932	口酸,4.04830256932	全身疼痛,4.04830256932	脉左沉细,4.04830256932	体胖,4.04830256932	目眵多,4.04830256932	大便有时秘结,4.04830256932	大便排出不畅,4.04830256932	动则汗出,4.04830256932	偶有胃脘隐痛,4.04830256932	脉右弦左沉,4.04830256932	口臭明显减轻,3.98376404818	心悸,3.97018479005	胃脘畏寒好转,3.96606447108	大便不成形,3.96606447108	小便频,3.95778856178	睡眠略好转,3.95299238951	自觉上火,3.95299238951	尿不尽感,3.95299238951	舌紫暗红胖,3.95299238951	反酸减少,3.95299238951	腹痛减轻,3.95299238951	鼻燥,3.95299238951	偶有反酸,3.95299238951	胃胀明显好转,3.95299238951	口干明显,3.95299238951	头痛,3.94765904354	大便粘,3.94169283426	早醒,3.93497388401	牙痛,3.92313942636	小便困难,3.92313942636	

乌药	下腹胀,5.38692221535	小腹畏寒,5.31792934386	代诉：病情平稳,5.31792934386	腹部畏寒略减,5.16377866404	小腹胀,5.10405942933	反酸减少,5.06846848423	下肢疼痛,5.0555650794	小腹胀满,4.98145710724	脐周不适,4.98145710724	偶有胃脘隐痛,4.98145710724	质不干,4.94371677926	左下腹疼痛,4.90141439957	大便渐成形,4.88614692744	矢气,4.84792571462	形体偏瘦,4.79913555045	矢气减少,4.75831355593	腰部不适,4.75831355593	腹中不适,4.67607545769	排不尽感,4.66300337612	脐周腹痛,4.65295304027	双下肢畏寒,4.63315041297	偶腹痛,4.6067636578	正值经期,4.57599199913	情志不舒加重,4.57599199913	病情稳定,4.52192477786	纳偏少,4.511453478	时有腰痛,4.49594929146	食后嗳气,4.48502022093	晨起嗳气,4.47063148348	睡眠质量好转,4.47063148348	夜间口干减轻,4.47063148348	肠鸣减轻,4.47063148348	夹血块,4.47063148348	晨起反酸,4.47063148348	月经不调,4.41091224877	小便不畅,4.40163861199	大便量少,4.3983108219	苔灰腻,4.37532130367	腹部硬满,4.37532130367	烘热汗出,4.37532130367	腹痛减轻,4.37532130367	尿痛,4.35284844782	大便不规律,4.320058625	舌暗淡,4.28830992668	痛经,4.28830992668	苔薄黄略腻,4.28830992668	心烦易怒,4.28830992668	晨起明显,4.23951976251	得矢气则舒,4.22768530487	排气不畅,4.20826721901	晨起口臭,4.20826721901	腹部畏寒明显,4.19299974688	畏脘畏寒,4.19299974688	白带多,4.19299974688	不能食冷,4.18776869746	腹痛,4.18512569045	大便次数多,4.17911063472	脘腹胀满,4.17052689103	矢气多,4.17052689103	质干,4.15477853406	纳略增,4.13415924685	腹部微畏寒,4.11645966976	眠一般,4.11062874944	大便不尽感,4.09048418335	食欲好转,4.08763923122	腹胀不明显,4.06516637537	有齿痕,4.06516637537	大便好转,4.06516637537	恶心减轻,4.06516637537	大便有时成形,4.06516637537	脐周隐痛,4.06516637537	伴嗳气,4.06516637537	排气少,4.06516637537	时有口干,4.04989890324	胃中沥沥有声,4.04714786987	脉弦滑,4.03884906705	小便频,4.02594566221	大便欠畅,4.0163762112	烘热,4.0163762112	经期腹痛,4.00959652421	时有腹胀,4.00544714067	唇暗,4.00062785423	腹胀减轻,3.99496211669	大便少,3.99284571379	口涩,3.96985619556	大便仍不成形,3.96985619556	睡眠偏差,3.96985619556	眠时好时差,3.96985619556	乏力减轻,3.96985619556	心悸减轻,3.96985619556	呈绞痛,3.96985619556	受凉易作,3.96985619556	畏寒,3.96162569643	大便困难,3.95183769006	糖尿病饮食,3.95183769006	腰痛,3.94738333971	腹胀,3.94536517556	偶头晕,3.94000323241	舌紫暗红,3.92540443299	便秘好转,3.91674637025	

焦神曲	反酸减少,5.0696029143	纳略增,4.98259153731	口干不欲饮,4.98259153731	足跟痛,4.88728135751	健忘,4.84906014469	夹未消化物,4.83949069367	大便中夹有未消化物,4.82844085749	咽部有异物感,4.80026998052	食欲不振,4.78843552287	全身疼痛,4.759447986	脉右弦左沉,4.759447986	小便少,4.7414294805	纳差,4.72323232906	纳偏少,4.69490946486	苔局部花剥,4.66413780619	睡眠偏差,4.66413780619	泛吐白沫,4.66413780619	干呕,4.64611930069	食后难消,4.62777016202	口淡乏味,4.5771264292	长期依赖泻药,4.5771264292	形体消瘦,4.53630443468	食欲欠佳,4.53630443468	便前腹痛,4.52305920793	时时欲便,4.51258790807	消瘦,4.51258790807	乏力明显好转,4.49708372153	脉沉弦细,4.49708372153	偶干咳,4.49708372153	大便少,4.47948795964	胃脘胃寒,4.47176591355	腹部畏寒略减,4.47176591355	两胁疼痛,4.47176591355	反复发作,4.47176591355	夜尿3次,4.47176591355	口干好转,4.45934339355	脉弦细数,4.42297574938	手足热,4.42297574938	纳可,4.3939882125	厌油腻,4.39054047362	胃胀明显好转,4.37645573374	眠时好时差,4.37645573374	食欲好转,4.37645573374	大便偶干,4.37645573374	时有胃脘不适,4.37645573374	口干明显,4.37645573374	晨起恶心,4.35398287789	尿痛,4.35398287789	大便不黑,4.35398287789	头胀,4.34073765114	苔根部薄黄,4.32119305507	气喘,4.28944435675	乏津,4.28944435675	根部黄,4.28944435675	大便黑,4.28944435675	睡眠时好时差,4.28944435675	脉细数,4.28944435675	偶呕吐,4.28944435675	心烦易怒,4.28944435675	纳少,4.27602133642	受凉易腹泻,4.25435303694	胃寒,4.24862236223	疼痛,4.24065419258	烘热,4.24065419258	便溏,4.22881973494	小便困难,4.22881973494	纳眠差,4.22881973494	大便已成形,4.22881973494	上腹胀,4.22045148527	眠一般,4.21712369517	下肢疼痛,4.20940164908	四肢冷,4.20940164908	汗多减轻,4.20940164908	剑突下偏右侧疼痛,4.20940164908	左上腹疼痛,4.19413417695	口腔溃疡,4.17909629958	面色萎黄,4.1716613211	舌下脉络瘀曲,4.1716613211	体重下降,4.1716613211	口苦口干,4.1716613211	手足凉好转,4.1716613211	受凉加重,4.14968241438	经期腹痛,4.14426234691	反复感冒,4.13529367693	进食后加重,4.13529367693	纳稍增,4.13529367693	烦躁,4.13529367693	大便困难,4.13529367693	纳减,4.13274590485	量不多,4.12514130546	不喜饮,4.11759409983	腹部畏寒好转,4.10712279996	目干涩,4.10712279996	食后胃胀,4.07887958765	舌质暗红,4.06630080544	脐周隐痛,4.06630080544	进食后腹胀,4.06630080544	背部畏寒,4.06630080544	苔根部腻,4.06630080544	偶心悸,4.06630080544	

炒酸枣仁	小便热,5.60937027574	睡眠质量好转,5.18555602896	醒后难再入睡,4.97725898576	以流食为主,4.92319176449	反酸减少,4.90792429236	大便渐成形,4.90792429236	眠中易醒,4.88017437941	纳略增,4.84908379234	睡眠时间短,4.84908379234	背部畏寒,4.78009092085	色黄,4.78009092085	苔偏少,4.78009092085	目眵多,4.78009092085	失眠好转,4.74540536286	右上腹不适,4.7408702077	口干舌燥,4.71555239971	易醒,4.70474148361	睡眠质量差,4.69179831371	早醒,4.66676223554	稍感胃胀,4.64655952823	眠不实,4.59776936406	量多,4.59776936406	感冒多,4.59776936406	偶右胁不适,4.59776936406	大便粘好转,4.59776936406	右侧腹痛,4.59776936406	根部腻,4.51772665638	剑突下偏右侧疼痛,4.51772665638	背痛减轻,4.4924088484	小便清长,4.4924088484	苔薄黄白,4.4924088484	口干不欲饮,4.4924088484	咽痛好转,4.4924088484	否认过敏史,4.4799863284	睡眠不实,4.4799863284	前部少,4.4726062211	偶头晕,4.4726062211	反复感冒,4.44361868423	进食生冷加重,4.44361868423	苔灰腻,4.3970986686	微畏寒,4.3970986686	睡眠略好转,4.3970986686	鼻燥,4.3970986686	有瘀斑,4.38070485882	有软裂,4.36951071208	舌红暗,4.36724570545	小腹胀,4.35264690602	食后嗳气,4.35264690602	下腹胀,4.31008729161	偶胸闷,4.31008729161	时有右胁痛,4.31008729161	饮食不慎则腹泻,4.27499597179	食后胃胀,4.27137277942	全身关节疼痛,4.24946266979	腰酸,4.24554877047	右胁隐痛,4.23004458393	右胁痛,4.23004458393	膝关节畏寒,4.23004458393	苔浊腻,4.23004458393	嗳气频作,4.23004458393	汗多减轻,4.23004458393	睡眠差,4.21536003225	目涩,4.2147771118	舌下脉络瘀曲,4.19230425595	苔前部少,4.19230425595	大便基本成形,4.17032534923	生气后加重,4.15593661178	按之觉痛,4.15593661178	小便不尽感,4.15593661178	脱发明显,4.15593661178	咳吐不利,4.15593661178	反酸偶作,4.15593661178	小便多,4.14578424031	牙龈出血,4.13823703468	不喜饮,4.13823703468	大便少,4.13240611437	入睡困难,4.12708290788	腹胀减轻,4.10375085861	背痛好转,4.08694374029	苔根部白腻,4.08694374029	腹胀不明显,4.08694374029	口酸,4.08694374029	声音嘶哑,4.08694374029	肠鸣减轻,4.08694374029	口渴,4.08694374029	腰部不适,4.08694374029	睡眠好转,4.08694374029	双下肢肿减轻,4.08694374029	伴嗳气,4.08694374029	苔薄腻略黄,4.067141113	根部薄黄,4.05415391747	健忘,4.02240521915	汗多好转,4.02240521915	咽痛,4.01351627174	小便次数多,3.99163356049	偶耳鸣,3.99163356049	胃脘隐痛减轻,3.99163356049	小便急,3.99163356049	记忆力下降,3.99163356049	尿不尽感,3.99163356049	

桔梗	颈部不适,5.35566967185	肛门下坠感,5.1172586484	咽部充血,5.1172586484	腹部下坠感,5.06199596973	家族史否认,5.03024727141	声音嘶哑,4.96125439992	大便偶干,4.93493709161	饮食不慎则胃胀,4.93493709161	咳痰色白,4.89671587879	偶右胁不适,4.84792571462	口酸,4.8071037201	咳黄痰,4.8071037201	左沉细,4.8071037201	舌质红,4.76788300694	前部苔少,4.76788300694	苔根部黄,4.74256519896	咽痒,4.73689946142	小便急,4.71179354029	目干涩好转,4.71179354029	心下悸动,4.71179354029	唇燥,4.68194057714	咽部堵闷感,4.68194057714	手足热,4.6247821633	根部薄黄,4.59199234048	咽中有痰,4.58072217351	膝关节疼痛,4.57071494203	咽红,4.55332319932	得嗳气矢气则舒,4.54473945563	食欲差,4.54473945563	咽干咽痛,4.54473945563	背痛好转,4.51942164765	色白,4.51037181213	咽部异物感,4.50354829849	咽部不适,4.49961902035	咽部异物感减轻,4.48663182482	咳嗽,4.47686203323	少津,4.47063148348	吞咽困难,4.47063148348	胃脘畏寒减轻,4.45772807864	乏津,4.43241027066	乏力减轻,4.42411146784	量不多,4.42411146784	咽部有痰,4.41120806301	得嗳气则舒,4.40454137165	面部痤疮好转,4.40163861199	色黄,4.40163861199	嗳气不畅,4.39215986803	大便畅,4.37346773502	咽干,4.34211263268	咳痰,4.33710009085	汗多好转,4.33710009085	时时欲便,4.33710009085	嗳气明显减轻,4.33710009085	盗汗,4.33710009085	心烦易怒,4.33710009085	醒后难再入睡,4.31112460445	质粘,4.29264832828	口腔异味减轻,4.28830992668	偶干咳,4.25705738318	大便不尽感,4.25705738318	四肢冷,4.25705738318	偶咳痰,4.25705738318	睡眠一般,4.25705738318	脉沉小,4.25705738318	胃脘不适好转,4.24748793216	目涩,4.24178991105	舌淡边有齿痕,4.24178991105	瘙痒,4.2193170552	质干,4.20356869823	受凉加重,4.19733814848	脉弦细数,4.18294941102	小便不尽感,4.18294941102	时有胃脘隐痛,4.18294941102	易怒,4.18294941102	咳吐不利,4.18294941102	咽痛,4.17406046361	嗳气频作,4.17004600619	流清涕,4.16524983392	鼻干,4.14785809121	打鼾,4.11395653954	正值经期,4.11395653954	脐周隐痛,4.11395653954	食后加重,4.11395653954	口粘好转,4.11395653954	唇干,4.11395653954	脉左沉细,4.11395653954	苔薄黄白,4.11395653954	肠鸣减轻,4.11395653954	大便有时秘结,4.11395653954	有时偏干,4.11395653954	时干时稀,4.11395653954	干咳,4.11395653954	手心热,4.07473582638	气喘,4.0494180184	面部烘热,4.0494180184	口干喜饮,4.0287987312	苔灰腻,4.01864635973	足跟痛,4.01864635973	尿不尽感,4.01864635973	偶胸骨后疼痛,4.01864635973	

炒白术	烘热汗出,4.48169013804	消瘦,4.39467876105	双下肢畏寒,4.04637206679	喜温喜按,3.47838802918	晨起反酸,3.47838802918	偶口干口苦,3.47838802918	反复胃胀,3.47838802918	稍感恶心,3.47838802918	脐周隐痛,3.47838802918	晨起嗳气,3.47838802918	呈隐痛,3.47838802918	胃脘胃寒,3.47838802918	偶隐痛,3.47838802918	苔根部腻,3.47838802918	心下悸动,3.38307784938	受凉易作,3.38307784938	腹痛减轻,3.38307784938	大便偶干,3.38307784938	舌木,3.38307784938	偶胸骨后疼痛,3.38307784938	嗳气明显好转,3.38307784938	痰多,3.38307784938	查胃镜示慢性胃炎,3.38307784938	足跟痛,3.38307784938	量偏少,3.3386260868	苔中根部黄,3.29606647239	时有口干口苦,3.29606647239	形体肥胖,3.29606647239	皮肤痒,3.29606647239	下腹胀,3.29606647239	经期腹痛,3.2686674982	大便不尽感,3.21602376471	时有腰痛,3.21602376471	反复感冒,3.14191579256	苔中根部薄黄,3.14191579256	时有乏力,3.14191579256	按之觉痛,3.14191579256	色黄,3.07292292107	大便不黑,3.07292292107	口渴,3.07292292107	苔薄白略黄,3.02943780913	时时欲便,3.00838439993	偶胸闷,3.00838439993	胸骨后烧灼感减轻,3.00838439993	苔薄黄略腻,3.00838439993	食欲不振,2.94775977812	得矢气则舒,2.94775977812	便溏,2.94775977812	苔根部黄腻,2.9331609787	苔薄白略腻,2.91877224124	目干,2.90177466488	面色萎黄,2.89060136428	不干,2.89060136428	苔白略腻,2.8191424003	睡眠时好时差,2.78524084862	精神好转,2.76054823603	右侧背痛,2.73645068445	眠一般,2.71292018704	喜饮,2.68993066882	目涩,2.68993066882	时有口干,2.68993066882	食后明显,2.68993066882	乏力减轻,2.68993066882	舌偏红,2.66745781296	脉沉细弱,2.64547890624	质粘,2.64547890624	腰痛减轻,2.64547890624	脉细弦,2.60291929183	目干涩,2.60291929183	大便黑,2.60291929183	偶口干,2.60291929183	略黄,2.60291929183	口干舌燥,2.60291929183	易感冒,2.58912596969	苔黄略腻,2.56209729731	胃寒,2.56209729731	脉滑,2.54229467001	面部痤疮,2.53253849506	不喜食冷,2.53059863025	偶咳痰,2.52287658415	脉沉细数,2.48513625617	夹有血块,2.48513625617	质不干,2.48513625617	时有恶心,2.48513625617	苔黄白腻,2.448768612	时有口苦,2.448768612	受凉易腹泻,2.41367729219	泻前腹痛,2.41367729219	反酸好转,2.37977574051	上腹胀,2.37977574051	纳一般,2.37423556014	胸骨后不适,2.36324643856	乳房胀痛,2.34698591769	大便不规律,2.34698591769	矢气,2.31523721937	舌略红,2.31523721937	盗汗,2.31523721937	苔白,2.29461793217	大便有时不成形,2.29461793217	口涩,2.28446556071	

焦槟榔	代诉：病情平稳,5.42556000806	前部苔少,5.29672713621	下腹胀,5.24323845126	脐周不适,5.08908777143	腹泻减轻,4.99377759163	大便渐成形,4.99377759163	质不干,4.88429335879	小腹胀满,4.86594422012	食后腹胀,4.86594422012	苔偏少,4.86594422012	腰部不适,4.86594422012	偶有便不尽感,4.86594422012	苔薄黄略腻,4.80140569898	苔根部黄,4.80140569898	偶腹痛,4.80140569898	咽部充血,4.77063404032	苔中根部黄,4.68362266333	腹部不适,4.68362266333	大便有时干,4.68362266333	全身乏力,4.68362266333	小便不畅,4.64280066881	舌淡边有齿痕,4.63710264769	左侧腹痛,4.62955544206	矢气,4.61908414219	偶腹胀,4.61908414219	时有腰痛,4.60357995565	小腹胀,4.59265088512	喜温喜按,4.57826214767	晨起嗳气,4.57826214767	口粘好转,4.57826214767	大便有时成形,4.57826214767	偶有胃脘隐痛,4.57826214767	时有肠鸣,4.5294719835	脐周腹痛,4.50926927618	腹部畏寒明显,4.48295196786	睡眠偏差,4.48295196786	有时成形有时不成形,4.48295196786	夹未消化物,4.46047911201	腹部微畏寒,4.44723388526	脘腹胀满,4.43230823505	苔黄白腻,4.39594059087	口干苦,4.39594059087	汗多好转,4.39594059087	午后明显,4.39594059087	心烦易怒,4.39594059087	眠不实,4.36516893221	眠一般,4.32361992929	偶干咳,4.3158978832	食欲好转,4.30063041107	乏津,4.29058007522	舌下脉络瘀曲,4.27815755522	否认过敏史,4.27815755522	脉沉细弦,4.25337752622	腹胀,4.25248520016	腹痛,4.24830459207	纳略增,4.24178991105	脉弦数,4.24178991105	大便困难,4.24178991105	脉,4.24178991105	纳时好时差,4.24178991105	偶背痛,4.22409033395	口干舌燥,4.21361903408	腹胀减轻,4.18960415788	腹胀不明显,4.17279703956	夜间口干减轻,4.17279703956	腰背痛,4.17279703956	矢气减少,4.17279703956	口苦好转,4.17279703956	反复发作,4.17279703956	苔薄黄白,4.17279703956	大便偶不成形,4.17279703956	呈隐痛,4.17279703956	大便调,4.17279703956	伴嗳气,4.17279703956	肠鸣,4.1550450941	胃中沥沥有声,4.15477853406	腹部下坠感,4.14000721674	大便不规律,4.14000721674	时有腹痛,4.12931192762	大便欠畅,4.12400687539	依赖泻药,4.12400687539	偶口苦,4.12400687539	口臭明显减轻,4.10825851842	唇暗,4.10825851842	纳偏少,4.10825851842	大便畅,4.09583599842	反复腹泻,4.09055894132	小便多,4.07748685976	足跟痛,4.07748685976	泛吐白沫,4.07748685976	睡眠略好转,4.07748685976	食后明显,4.07748685976	感冒不多,4.07748685976	易上炎,4.07748685976	大便溏,4.07748685976	大便不尽感,4.06458345492	纳眠差,4.04763389661	脘腹畏寒,4.04763389661	月经不调,4.03303509719	大便中夹有未消化物,4.01864635973	

竹茹	口酸,5.46286336859	胃脘及背部畏寒,5.30871268876	稍感恶心,5.12639113196	时有呕吐,4.99285973934	进食后偶嗳气,4.95454087504	舌干,4.94406957517	脉弱,4.72092602386	双下肢凉,4.72092602386	舌淡红胖,4.72092602386	口粘减轻,4.64088331618	腹胀不明显,4.6155655082	背痛减轻,4.6155655082	大便较前成形,4.6155655082	睡眠质量好转,4.6155655082	咽痛好转,4.6155655082	时有胃脘隐痛,4.56677534403	吞咽困难,4.56677534403	嗳气明显好转,4.52025532839	睡眠略好转,4.52025532839	大便偶干,4.52025532839	睡眠有时偏差,4.52025532839	四肢凉,4.52025532839	晨起恶心,4.49778247254	上腹胀满,4.46961159558	不能多食,4.45856175939	呕吐,4.45126245691	恶心减轻,4.4332439514	嗳气明显减轻,4.4332439514	舌有裂纹,4.41286478907	反食,4.40584497722	胃中沥沥在声,4.35320124373	大便时干,4.35320124373	剑突下偏右侧疼痛,4.35320124373	苔腻,4.34623257441	舌木,4.3379337716	右胁胀,4.33146125709	舌灼热感,4.31546091575	偶恶心,4.31209956805	进食后嗳气,4.29971255878	咳吐不利,4.27909327158	反酸偶作,4.27909327158	晨起口苦,4.27290130133	胃胀明显好转,4.26894090011	嗳气好转,4.26894090011	嗳气频作,4.26618986674	小便量少,4.23541820807	有齿痕,4.21010040009	正值经期,4.21010040009	背部畏寒,4.21010040009	小便清长,4.21010040009	晨起反酸,4.21010040009	色黄,4.21010040009	脐周隐痛,4.21010040009	全身疼痛,4.21010040009	两胁疼痛,4.21010040009	咳黄痰,4.21010040009	苔薄黄白,4.21010040009	夹血块,4.21010040009	苔白略腻,4.15699057478	胸骨后烧灼感减轻,4.14556187895	气喘,4.14556187895	家族史否认,4.14556187895	否认过敏史,4.13313935895	便不尽感,4.12786230185	睡眠质量差,4.12180779294	根部薄白,4.11479022029	烘热汗出,4.11479022029	尿不尽感,4.11479022029	舌燥,4.11479022029	目干涩好转,4.11479022029	查胃镜示慢性胃炎,4.11479022029	睡眠多,4.11479022029	时有胃脘不适,4.11479022029	口中发酸,4.11479022029	胃脘畏寒减轻,4.10188681545	小便少,4.09677171478	纳眠差,4.08493725714	心悸好转,4.08493725714	头晕好转,4.07033845772	苔薄白略腻,4.05594972026	口干口苦减轻,4.05594972026	手麻,4.0277788433	大便干燥,4.0277788433	苔中根部黄,4.0277788433	腹部不适,4.0277788433	口干苦,4.0277788433	反酸好转,4.0277788433	目干涩,4.0277788433	上腹胀,4.0277788433	长期依赖泻药,4.0277788433	偶呕吐,4.0277788433	晨起干呕,4.0277788433	午后明显,4.0277788433	大便欠成形,4.01398552116	右胁疼痛,3.97371162203	牙龈出血,3.97371162203	头胀,3.97371162203	咽部不适,3.96715422148	苔浊腻,3.94773613562	右胁隐痛,3.94773613562	

